,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
248,56,0,RARELY,CONSULTANTS,2,F,1,M,2066,2,0,22,4,40,5,3,4,3,2,1,0
249,38,0,FREQUENTLY,CONSULTANTS,1,M,3,M,2684,0,0,17,3,40,3,0,2,2,1,0,2
250,42,0,RARELY,SALES,4,M,1,S,5155,7,0,13,3,40,9,3,4,6,4,1,5
251,37,0,RARELY,CONSULTANTS,2,M,4,S,4680,3,0,17,3,40,4,2,3,1,0,0,0
252,55,0,NON_TRAVEL,CONSULTANTS,1,M,2,D,13577,1,1,15,3,48,34,3,3,33,9,15,0
253,50,0,RARELY,SALES,4,M,2,M,3875,7,0,15,3,40,4,2,3,2,2,2,2
254,25,0,RARELY,SALES,1,M,3,M,2096,1,0,11,3,40,7,1,3,7,4,0,6
255,34,0,FREQUENTLY,CONSULTANTS,4,M,3,M,5063,1,0,14,3,40,8,3,2,8,2,7,7
256,28,0,RARELY,CONSULTANTS,2,M,1,S,5661,0,0,19,3,40,9,2,3,8,3,0,7
257,27,0,NON_TRAVEL,CONSULTANTS,3,M,3,D,2566,1,1,15,3,52,1,2,2,1,1,0,1
258,54,0,RARELY,CONSULTANTS,2,M,1,M,19406,4,0,11,3,40,24,4,2,4,2,1,2
259,37,0,RARELY,SALES,3,M,4,S,7428,2,0,12,3,40,12,3,3,5,3,1,3
260,40,0,RARELY,CONSULTANTS,2,M,4,M,2741,8,1,15,3,46,15,2,4,7,2,3,7
261,36,1,RARELY,CONSULTANTS,3,M,3,D,4834,7,0,14,3,40,9,3,2,1,0,0,0
262,49,0,RARELY,CONSULTANTS,3,M,3,S,15379,4,0,14,3,40,23,2,3,8,7,0,0
263,27,0,RARELY,CONSULTANTS,2,M,2,D,3816,1,0,11,3,40,5,2,3,5,2,0,4
264,48,0,RARELY,CONSULTANTS,4,F,1,M,2367,8,0,12,3,40,10,3,2,8,2,7,6
265,38,0,RARELY,CONSULTANTS,3,M,4,S,3944,5,1,11,3,47,6,3,3,3,2,1,2
266,40,0,RARELY,SALES,2,M,4,M,7457,2,1,22,4,52,6,2,2,4,3,0,2
267,36,0,NON_TRAVEL,SALES,4,M,4,S,9980,1,0,14,3,40,10,3,2,10,3,9,7
268,34,0,RARELY,CONSULTANTS,4,M,4,M,2932,0,1,14,3,48,6,3,3,5,0,1,2
269,55,0,RARELY,SALES,5,M,4,M,19586,1,0,21,4,40,36,3,3,36,6,2,13
270,34,0,RARELY,SALES,3,F,3,D,2579,1,1,18,3,49,8,3,3,8,2,0,6
271,58,0,RARELY,SALES,3,F,4,M,17875,4,1,13,3,50,29,2,2,1,0,0,0
272,50,1,FREQUENTLY,SALES,4,M,3,D,6728,7,0,12,3,40,12,3,3,6,3,0,1
273,52,1,RARELY,SALES,3,M,2,S,8446,9,1,19,3,52,10,2,2,8,7,7,7
274,24,0,NON_TRAVEL,CONSULTANTS,3,M,2,D,2694,1,0,11,3,40,1,4,3,1,0,0,0
275,32,0,NON_TRAVEL,SALES,4,M,4,M,4465,0,0,18,3,40,4,2,3,3,2,2,2
276,54,0,RARELY,CONSULTANTS,3,F,3,M,10739,8,0,11,3,40,22,2,3,10,7,0,8
277,25,1,FREQUENTLY,SALES,1,M,4,S,1118,1,1,14,3,52,1,4,3,1,0,1,0
278,37,0,RARELY,SALES,4,F,4,D,6694,2,1,14,3,48,8,5,3,1,0,0,0
279,57,0,RARELY,CONSULTANTS,2,M,3,M,4900,0,0,24,4,40,13,2,2,12,9,2,8
280,50,0,RARELY,CONSULTANTS,3,M,3,M,13973,3,1,18,3,50,22,2,3,12,11,1,5
281,45,0,RARELY,CONSULTANTS,4,F,4,D,2270,3,0,14,3,40,8,2,3,5,3,0,2
282,28,0,NON_TRAVEL,OPERATIONS,2,M,4,D,2706,1,0,15,3,40,3,2,3,3,2,2,2
283,43,0,RARELY,CONSULTANTS,3,M,4,M,19740,3,0,14,3,40,25,2,3,8,7,0,7
284,28,0,RARELY,SALES,4,F,2,M,4779,1,1,20,4,49,8,2,3,8,7,7,5
285,40,0,RARELY,SALES,2,F,2,D,5715,7,0,12,3,40,8,5,3,5,4,1,3
286,34,0,RARELY,CONSULTANTS,5,M,4,M,2691,1,0,12,3,40,10,4,2,10,9,8,8
287,34,0,RARELY,CONSULTANTS,2,M,4,M,3986,1,0,14,3,40,15,3,4,15,10,4,13
288,31,0,FREQUENTLY,SALES,3,M,4,M,2791,0,0,12,3,40,3,4,3,2,2,2,2
289,27,0,RARELY,CONSULTANTS,3,F,3,S,2318,1,0,19,3,40,1,2,3,1,1,0,0
290,55,0,RARELY,SALES,5,F,2,S,16835,3,0,23,4,40,37,2,3,10,9,7,7
291,36,0,RARELY,SALES,4,F,3,M,5673,1,1,13,3,47,10,4,3,10,9,1,7
292,44,1,RARELY,CONSULTANTS,3,F,4,M,7978,1,0,11,3,40,10,2,3,10,7,0,5
293,48,0,RARELY,SALES,4,F,3,D,6439,8,0,14,3,40,18,2,3,8,7,7,7
294,33,0,FREQUENTLY,SALES,3,F,3,M,4539,1,0,12,3,40,10,3,2,10,7,0,1
295,46,0,RARELY,SALES,3,F,2,M,16872,3,1,12,3,51,28,2,2,7,7,7,7
296,45,0,RARELY,CONSULTANTS,2,F,2,S,16704,1,0,11,3,40,21,2,3,21,6,8,6
297,45,0,RARELY,SALES,3,M,2,M,4805,0,0,19,3,40,9,3,4,8,7,3,7
298,50,0,FREQUENTLY,CONSULTANTS,5,M,4,S,14411,1,1,13,3,49,32,2,3,32,6,13,9
299,36,0,RARELY,CONSULTANTS,3,F,4,M,3038,3,0,12,3,40,5,3,3,1,0,0,0
300,55,1,RARELY,CONSULTANTS,3,M,1,M,19859,5,1,13,3,51,24,2,3,5,2,1,4
301,27,0,FREQUENTLY,SALES,3,M,3,S,8726,1,0,15,3,40,9,0,3,9,8,1,7
302,33,0,RARELY,CONSULTANTS,4,F,4,M,2911,1,0,13,3,40,2,2,2,2,2,0,2
303,33,0,RARELY,SALES,4,M,3,S,5487,1,0,14,3,40,10,2,2,10,4,0,9
304,27,0,RARELY,SALES,3,M,3,S,4478,1,1,11,3,49,5,3,3,5,4,0,4
305,36,0,FREQUENTLY,OPERATIONS,1,M,4,S,3886,1,0,21,4,40,10,2,2,10,1,0,8
306,30,0,RARELY,CONSULTANTS,4,F,1,M,11916,1,1,23,4,48,9,2,3,9,1,0,8
307,26,0,FREQUENTLY,CONSULTANTS,2,F,4,D,4364,3,0,14,3,40,5,2,3,2,2,2,0
308,28,0,RARELY,CONSULTANTS,3,M,4,M,2044,1,0,11,3,40,5,6,4,5,3,0,3
309,36,0,RARELY,CONSULTANTS,4,M,3,D,2741,1,0,14,3,40,7,4,3,7,7,1,7
310,55,0,RARELY,CONSULTANTS,3,M,2,D,3537,5,0,12,3,40,8,1,3,4,2,1,2
311,25,0,RARELY,OPERATIONS,3,F,2,M,2187,4,0,14,3,40,6,3,3,2,0,1,2
312,29,0,RARELY,CONSULTANTS,4,F,1,S,3785,1,0,14,3,40,5,3,1,5,4,0,4
313,46,0,RARELY,CONSULTANTS,4,F,1,D,4615,8,1,23,4,47,19,2,3,16,13,1,7
314,32,0,FREQUENTLY,CONSULTANTS,3,F,2,M,2743,1,0,20,4,40,2,2,3,2,2,2,2
315,42,0,RARELY,CONSULTANTS,2,M,1,M,17665,0,0,17,3,40,23,3,3,22,6,13,7
316,20,0,RARELY,SALES,3,M,4,S,2678,1,0,17,3,40,2,2,3,2,1,2,2
317,31,1,RARELY,SALES,4,M,3,M,6172,4,1,18,3,57,12,3,2,7,7,7,7
318,34,0,RARELY,CONSULTANTS,4,F,2,S,11994,0,0,11,3,40,13,4,3,12,6,2,11
319,54,0,RARELY,OPERATIONS,4,M,2,M,10725,2,0,15,3,40,16,1,4,9,7,7,1
320,26,0,RARELY,CONSULTANTS,4,M,4,M,4420,1,0,22,4,40,8,2,3,8,7,0,7
321,58,1,RARELY,CONSULTANTS,4,F,1,M,10008,7,1,14,3,56,31,0,2,10,9,5,9
322,34,0,RARELY,CONSULTANTS,4,M,3,D,2768,3,0,12,3,40,14,3,3,7,3,5,7
323,44,0,FREQUENTLY,OPERATIONS,5,M,4,M,5743,4,1,11,3,48,14,3,3,10,7,0,2
324,29,0,FREQUENTLY,CONSULTANTS,3,F,2,D,3291,0,0,14,3,40,8,2,2,7,5,1,1
325,31,1,FREQUENTLY,SALES,4,F,3,S,1359,1,0,12,3,40,1,3,3,1,0,0,0
326,29,0,RARELY,CONSULTANTS,3,F,1,D,2109,1,0,13,3,40,1,2,3,1,0,0,0
327,45,0,FREQUENTLY,CONSULTANTS,4,M,3,S,5399,4,0,12,3,40,12,3,3,4,2,0,3
328,51,0,RARELY,OPERATIONS,3,M,2,D,14026,1,1,11,3,49,33,2,3,33,9,0,10
329,24,0,RARELY,CONSULTANTS,1,M,3,M,2774,0,0,12,3,40,6,2,3,5,3,1,2
330,29,0,RARELY,SALES,2,F,3,M,5561,1,0,14,3,40,6,5,2,6,0,1,2
331,29,1,RARELY,CONSULTANTS,4,M,1,S,2362,6,0,13,3,40,11,2,1,9,7,0,7
332,42,0,RARELY,CONSULTANTS,3,M,4,S,4272,4,0,19,3,40,16,3,3,1,0,0,0
333,47,1,FREQUENTLY,SALES,2,F,3,S,6397,4,1,12,3,51,8,2,3,5,4,1,3
334,53,0,RARELY,CONSULTANTS,3,M,3,M,14814,3,0,19,3,40,32,3,3,5,1,1,3
335,36,0,FREQUENTLY,CONSULTANTS,3,M,2,S,6499,1,0,13,3,40,6,3,3,6,5,0,3
336,37,0,NON_TRAVEL,CONSULTANTS,2,M,3,S,3500,0,0,14,3,40,7,2,1,6,5,1,3
337,30,0,RARELY,CONSULTANTS,3,M,1,M,9957,0,0,15,3,40,7,1,2,6,2,0,2
338,34,0,RARELY,CONSULTANTS,4,M,4,M,5484,9,0,17,3,40,9,3,2,2,2,2,1
339,26,0,RARELY,CONSULTANTS,1,M,4,S,3904,0,0,12,3,40,5,2,3,4,3,1,1
340,25,1,RARELY,CONSULTANTS,3,M,1,M,4031,5,0,13,3,40,6,5,3,2,2,0,2
341,37,0,FREQUENTLY,SALES,4,M,4,D,2793,4,0,17,3,40,13,2,3,9,8,5,8
342,32,0,RARELY,SALES,1,M,2,M,4078,0,1,13,3,51,4,3,2,3,2,1,2
343,52,0,FREQUENTLY,CONSULTANTS,2,F,3,M,13247,2,1,11,3,52,24,3,2,5,3,0,2
344,18,1,NON_TRAVEL,CONSULTANTS,1,M,3,S,1904,1,0,12,3,40,0,0,3,0,0,0,0
345,36,0,RARELY,CONSULTANTS,4,F,2,M,6962,4,1,22,4,49,15,2,3,1,0,0,0
346,36,0,RARELY,CONSULTANTS,3,F,3,D,10096,1,0,13,3,40,17,2,3,17,14,12,8
347,41,0,NON_TRAVEL,CONSULTANTS,4,F,3,S,6811,2,1,17,3,48,10,3,3,8,7,0,7
348,47,0,FREQUENTLY,SALES,3,F,3,D,13770,9,1,12,3,53,28,2,2,22,2,11,13
349,42,0,RARELY,CONSULTANTS,3,M,2,M,4434,1,0,13,3,40,10,3,2,9,8,7,8
350,46,0,RARELY,SALES,3,M,4,D,10368,4,1,12,3,52,13,5,2,10,6,0,3
351,44,0,RARELY,CONSULTANTS,4,M,4,S,4541,1,0,25,4,40,20,3,3,20,11,13,17
352,40,1,RARELY,CONSULTANTS,4,M,1,S,2018,3,0,14,3,40,15,3,1,5,4,1,0
353,26,0,RARELY,OPERATIONS,3,F,4,M,4900,1,0,22,4,40,8,2,3,8,7,5,3
354,35,0,FREQUENTLY,CONSULTANTS,4,M,4,M,2376,1,0,13,3,40,2,2,4,2,2,2,2
355,37,0,FREQUENTLY,SALES,4,M,4,D,9525,1,0,14,3,40,6,2,2,6,3,1,3
356,31,0,RARELY,CONSULTANTS,4,F,4,S,7143,1,1,14,3,54,11,2,2,11,9,4,10
357,32,0,RARELY,SALES,4,M,4,D,4403,2,0,11,3,40,8,3,2,5,2,0,3
358,43,0,FREQUENTLY,CONSULTANTS,3,F,1,M,10820,8,0,11,3,40,18,1,3,8,7,0,1
359,44,1,RARELY,CONSULTANTS,4,M,3,S,2936,1,1,11,3,52,6,4,3,6,4,0,2
360,33,0,RARELY,CONSULTANTS,4,M,1,M,3143,6,0,19,3,40,14,1,3,10,8,7,6
361,40,0,RARELY,SALES,2,F,1,M,4639,1,0,15,3,40,5,2,3,5,4,1,2
362,44,0,RARELY,CONSULTANTS,3,M,2,S,5933,9,0,12,3,40,10,2,2,5,2,2,3
363,30,0,RARELY,CONSULTANTS,2,M,3,S,2206,1,0,13,3,40,10,5,3,10,0,1,8
364,49,0,RARELY,CONSULTANTS,4,M,3,D,19502,1,1,17,3,49,31,5,3,31,9,0,9
365,20,1,RARELY,SALES,3,F,3,S,2044,1,0,13,3,40,2,3,2,2,2,0,2
366,37,0,RARELY,CONSULTANTS,3,F,2,M,3936,1,0,11,3,40,8,2,1,8,4,7,7
367,50,1,FREQUENTLY,SALES,2,M,3,M,6796,3,1,14,3,52,18,4,3,4,3,1,3
368,28,0,RARELY,SALES,4,M,4,S,4908,1,0,14,3,40,4,3,3,4,2,0,2
369,55,0,RARELY,CONSULTANTS,4,M,2,S,18722,8,0,11,3,40,36,3,3,24,15,2,15
370,45,0,RARELY,CONSULTANTS,3,M,1,D,9724,2,0,17,3,40,25,2,3,1,0,0,0
371,33,0,RARELY,CONSULTANTS,4,M,3,M,5207,1,1,12,3,49,15,3,3,15,14,5,7
372,47,0,NON_TRAVEL,CONSULTANTS,4,M,2,M,5467,8,0,18,3,40,16,4,4,8,7,1,7
373,25,0,RARELY,CONSULTANTS,3,M,4,M,3229,4,0,11,3,40,7,2,2,3,2,0,2
374,35,0,RARELY,CONSULTANTS,4,M,2,S,8095,0,0,13,3,40,17,5,3,16,6,0,13
375,30,0,RARELY,CONSULTANTS,2,F,1,M,11416,0,1,12,3,52,9,4,2,8,7,1,7
376,54,0,RARELY,CONSULTANTS,4,F,3,M,13549,9,0,12,3,40,16,5,1,4,3,0,3
377,31,0,RARELY,CONSULTANTS,4,M,4,M,2356,3,1,19,3,49,8,2,3,6,4,0,2
378,32,0,RARELY,CONSULTANTS,4,F,4,S,5055,7,0,16,3,40,10,0,2,7,7,0,7
379,38,0,RARELY,CONSULTANTS,3,F,3,M,13206,3,0,12,3,40,20,3,3,18,16,1,11
380,45,0,FREQUENTLY,CONSULTANTS,3,F,2,S,18061,3,0,22,4,40,22,4,3,0,0,0,0
381,36,0,FREQUENTLY,CONSULTANTS,4,M,4,M,3688,4,0,18,3,40,4,2,3,1,0,0,0
382,39,0,RARELY,CONSULTANTS,1,F,4,M,12742,1,0,16,3,40,21,3,3,21,6,11,8
383,26,1,FREQUENTLY,OPERATIONS,4,F,3,D,2741,0,1,11,3,56,8,2,2,7,7,1,0
384,44,0,RARELY,CONSULTANTS,4,M,1,M,5033,2,0,15,3,40,10,5,3,2,0,2,2
385,26,1,NON_TRAVEL,SALES,2,M,1,S,4969,8,0,18,3,40,7,6,3,2,2,2,2
386,58,0,RARELY,CONSULTANTS,3,F,1,M,19701,3,1,21,4,50,32,3,3,9,8,1,5
387,35,0,RARELY,CONSULTANTS,1,F,1,S,2559,1,0,11,3,40,6,3,2,6,5,1,1
388,31,1,NON_TRAVEL,CONSULTANTS,2,M,1,S,2321,0,1,22,4,51,4,0,3,3,2,1,2
389,36,0,RARELY,CONSULTANTS,3,M,1,M,8321,7,1,13,3,48,15,1,3,12,8,5,7
390,33,0,RARELY,OPERATIONS,3,M,3,M,3600,1,0,13,3,40,5,2,3,5,4,1,4
391,50,1,FREQUENTLY,SALES,4,M,3,S,4728,3,1,14,3,51,5,4,3,0,0,0,0
392,38,0,RARELY,CONSULTANTS,2,F,3,M,3700,1,0,0,2,46,5,3,3,5,4,0,3
393,36,0,NON_TRAVEL,CONSULTANTS,4,M,4,S,7779,2,0,20,4,40,18,0,3,11,9,0,9
394,42,0,RARELY,OPERATIONS,3,F,1,M,16799,0,0,14,3,40,21,5,3,20,7,0,9
395,44,0,RARELY,CONSULTANTS,3,F,4,M,7879,1,1,19,3,47,9,2,3,8,7,6,7
396,41,0,RARELY,SALES,3,F,2,M,4393,5,0,21,4,40,14,3,3,5,4,1,4
397,34,1,FREQUENTLY,SALES,2,F,3,D,2351,0,0,16,3,40,3,3,2,2,2,1,0
398,45,0,RARELY,CONSULTANTS,3,F,3,M,4477,4,1,19,3,51,7,2,2,3,2,0,2
399,50,0,FREQUENTLY,SALES,3,F,4,S,9208,4,0,11,3,40,16,3,3,2,2,2,1
400,31,1,FREQUENTLY,SALES,3,F,4,S,2785,7,0,14,3,40,3,3,4,1,0,0,0
401,35,0,RARELY,SALES,4,M,4,D,7823,6,0,13,3,40,12,2,3,10,9,0,8
402,33,0,RARELY,OPERATIONS,2,M,2,D,2277,3,1,11,3,47,7,4,4,4,3,0,3
403,25,0,RARELY,SALES,1,M,1,M,4256,1,0,12,3,40,5,1,4,5,2,0,3
404,36,0,RARELY,CONSULTANTS,4,F,1,M,8008,4,0,12,3,40,9,6,3,3,2,0,2
405,45,0,RARELY,CONSULTANTS,2,M,4,M,2654,3,0,21,4,40,8,3,2,2,2,0,2
406,35,0,RARELY,CONSULTANTS,3,M,3,M,7632,4,1,12,3,48,10,2,3,8,7,0,0
407,34,0,FREQUENTLY,CONSULTANTS,4,M,1,D,2996,5,0,14,3,40,10,2,3,4,3,1,3
408,25,0,RARELY,CONSULTANTS,1,M,3,D,3977,6,1,19,3,51,7,2,2,2,2,0,2
409,34,0,RARELY,CONSULTANTS,2,M,4,M,3622,1,1,13,3,47,6,3,3,6,5,1,3
410,45,0,RARELY,OPERATIONS,4,M,2,S,2177,1,0,16,3,40,6,3,3,6,3,0,4
411,46,0,FREQUENTLY,CONSULTANTS,3,M,1,M,10673,2,1,13,3,51,21,5,2,10,9,9,5
412,36,0,RARELY,CONSULTANTS,4,M,4,S,5810,1,0,16,3,40,10,2,2,10,4,1,8
413,40,0,RARELY,CONSULTANTS,4,M,1,D,16823,2,0,11,3,40,22,3,3,19,7,11,16
414,38,0,FREQUENTLY,CONSULTANTS,3,M,1,D,6288,2,0,15,3,40,13,3,2,4,3,1,2
415,34,0,FREQUENTLY,CONSULTANTS,4,M,4,D,4724,1,0,13,3,40,9,3,3,9,7,7,2
416,50,0,RARELY,CONSULTANTS,3,M,4,M,2380,4,0,18,3,40,8,5,3,1,0,0,0
417,36,0,RARELY,CONSULTANTS,4,F,3,M,7094,3,0,12,3,40,10,0,3,7,7,1,7
418,35,0,RARELY,CONSULTANTS,1,F,4,M,4014,1,1,25,4,64,10,2,1,10,6,0,7
419,38,0,RARELY,CONSULTANTS,2,F,3,M,3306,7,0,19,3,40,7,5,2,0,0,0,0
420,46,0,RARELY,OPERATIONS,2,F,1,S,3423,6,0,12,3,40,10,3,4,7,6,5,7
421,20,0,RARELY,SALES,1,M,1,S,2728,1,0,11,3,40,2,3,3,2,2,0,2
422,52,0,RARELY,CONSULTANTS,2,M,1,D,5577,3,1,12,3,48,18,3,3,10,9,6,9
423,41,1,RARELY,SALES,2,F,4,S,5993,8,1,11,3,63,8,0,1,6,4,0,5
424,37,0,RARELY,CONSULTANTS,4,M,2,S,4197,2,1,12,3,51,18,2,2,1,0,0,1
425,52,1,RARELY,CONSULTANTS,4,M,2,M,4941,2,0,15,3,40,11,3,2,8,2,7,7
426,35,0,RARELY,SALES,4,F,3,M,2430,0,0,23,4,40,6,5,3,5,3,4,2
427,34,0,RARELY,CONSULTANTS,4,F,4,S,3280,2,0,16,3,40,10,2,3,4,2,1,3
428,47,0,RARELY,CONSULTANTS,5,M,3,M,18300,4,0,11,3,40,21,2,3,3,2,1,1
429,35,0,FREQUENTLY,SALES,5,M,1,M,9069,1,0,22,4,40,9,3,2,9,8,1,8
430,37,0,FREQUENTLY,CONSULTANTS,3,M,4,D,12185,1,1,14,3,48,10,1,3,10,8,0,7
431,24,0,RARELY,SALES,2,F,3,M,4999,0,0,21,4,40,4,2,2,3,2,0,2
432,21,0,RARELY,CONSULTANTS,2,M,3,S,3230,1,0,17,3,40,3,4,4,3,2,1,0
433,42,0,RARELY,CONSULTANTS,5,F,4,S,15992,2,0,14,3,40,16,2,3,1,0,0,0
434,27,0,FREQUENTLY,SALES,1,M,4,S,5071,3,0,20,4,40,8,3,3,6,2,0,0
435,40,0,RARELY,SALES,4,M,2,S,19833,1,0,14,3,40,21,3,2,21,8,12,8
436,60,0,RARELY,CONSULTANTS,3,F,1,M,19566,5,0,11,3,40,33,5,1,29,8,11,10
437,51,0,RARELY,CONSULTANTS,4,M,4,M,2075,3,0,23,4,40,10,4,3,4,2,0,3
438,50,0,NON_TRAVEL,CONSULTANTS,4,M,1,D,17924,1,0,11,3,40,31,3,3,31,6,14,7
439,35,1,RARELY,CONSULTANTS,3,F,1,D,2074,1,1,12,3,52,1,2,3,1,0,0,0
440,36,0,RARELY,CONSULTANTS,4,M,4,S,4678,2,0,18,3,40,8,6,3,6,2,0,1
441,50,0,RARELY,CONSULTANTS,3,F,1,M,16880,4,1,11,3,50,25,2,3,3,2,1,2
442,39,0,RARELY,CONSULTANTS,3,M,4,D,9613,0,0,17,3,40,19,5,2,18,10,3,7
443,35,0,RARELY,OPERATIONS,4,F,4,S,8837,1,1,16,3,47,9,2,3,9,0,1,7
444,39,0,RARELY,CONSULTANTS,2,M,1,M,5151,1,0,25,4,40,10,3,3,10,0,7,9
445,26,0,FREQUENTLY,CONSULTANTS,2,M,1,M,4741,1,1,13,3,48,5,3,3,5,3,3,3
446,53,0,RARELY,CONSULTANTS,4,M,4,M,7005,3,0,15,3,40,11,2,3,4,3,1,2
447,29,0,RARELY,CONSULTANTS,1,M,1,S,4723,1,1,18,3,50,10,3,3,10,9,1,5
448,42,0,RARELY,CONSULTANTS,3,M,3,S,3968,4,0,13,3,40,8,3,3,0,0,0,0
449,26,0,RARELY,SALES,2,M,2,M,6272,1,0,20,4,40,6,5,4,5,3,1,4
450,30,0,RARELY,CONSULTANTS,3,M,3,M,5294,3,0,16,3,40,10,3,3,7,0,1,7
451,39,0,RARELY,SALES,1,F,4,M,12031,0,0,11,3,40,21,2,2,20,9,9,6
452,42,0,RARELY,CONSULTANTS,3,F,4,M,5231,2,1,13,3,52,17,1,2,5,3,1,3
453,30,1,RARELY,CONSULTANTS,3,F,3,M,2132,4,1,11,3,50,7,2,3,5,2,0,1
454,31,1,FREQUENTLY,CONSULTANTS,3,M,3,M,2610,1,0,12,3,40,2,5,2,2,2,2,2
455,36,0,RARELY,SALES,2,M,3,M,7596,1,0,13,3,40,10,2,3,10,9,9,0
456,27,0,RARELY,CONSULTANTS,4,F,4,M,4227,0,0,18,3,40,4,2,3,3,2,2,2
457,18,1,FREQUENTLY,SALES,3,M,2,S,1878,1,1,14,3,51,0,3,3,0,0,0,0
458,32,1,RARELY,CONSULTANTS,4,M,4,S,2795,1,1,24,4,63,1,2,1,1,0,0,1
459,25,0,RARELY,CONSULTANTS,1,M,4,M,3669,3,0,11,3,40,7,6,2,3,2,1,2
460,28,0,RARELY,SALES,1,M,2,M,1052,1,0,22,4,40,1,5,3,1,0,0,0
461,23,0,RARELY,SALES,1,M,1,D,2322,3,0,13,3,40,3,3,3,0,0,0,0
462,31,0,FREQUENTLY,SALES,4,F,1,M,9637,2,0,14,3,40,9,3,3,3,2,2,2
463,49,0,FREQUENTLY,CONSULTANTS,4,F,1,S,18665,9,1,11,3,48,22,4,3,3,2,1,2
464,31,0,RARELY,CONSULTANTS,3,M,3,D,4197,1,0,11,3,40,10,2,3,10,8,0,2
465,40,0,RARELY,SALES,4,F,3,M,18041,0,0,14,3,40,21,2,3,20,15,1,12
466,26,0,RARELY,CONSULTANTS,2,F,3,M,2933,1,1,13,3,55,1,3,2,1,0,1,0
467,40,0,RARELY,CONSULTANTS,3,M,3,D,2345,2,0,14,3,40,8,3,4,3,1,1,2
468,29,0,FREQUENTLY,CONSULTANTS,1,M,4,M,3812,1,0,13,3,40,11,3,4,11,8,3,10
469,39,0,RARELY,CONSULTANTS,2,M,3,S,4534,0,0,11,3,40,9,6,3,8,7,1,7
470,26,1,FREQUENTLY,CONSULTANTS,2,F,3,M,2366,1,1,14,3,52,8,2,3,8,7,1,7
471,45,0,RARELY,SALES,2,F,4,M,17650,3,0,13,3,40,26,4,4,9,3,1,1
472,33,0,RARELY,CONSULTANTS,3,M,3,M,11691,0,0,11,3,40,14,3,4,13,9,3,7
473,33,0,RARELY,CONSULTANTS,4,F,2,M,2622,6,0,21,4,40,7,3,3,3,2,1,1
474,40,0,RARELY,CONSULTANTS,3,F,3,S,13237,7,0,15,3,40,22,3,3,20,6,5,13
475,32,0,FREQUENTLY,CONSULTANTS,3,M,2,M,2794,1,0,20,4,40,5,3,1,5,1,0,3
476,41,0,RARELY,SALES,1,F,3,D,10447,0,1,13,3,46,23,3,4,22,14,13,5
477,31,0,RARELY,CONSULTANTS,2,F,1,M,4306,1,0,12,3,40,13,5,1,13,10,3,12
478,32,0,RARELY,CONSULTANTS,3,M,4,M,6162,1,1,22,4,49,9,3,3,9,8,7,8
479,33,0,RARELY,CONSULTANTS,5,F,3,D,16184,4,0,19,3,40,10,2,3,6,1,0,5
480,31,0,RARELY,CONSULTANTS,4,F,4,S,4424,1,0,23,4,40,11,2,3,11,7,1,8
481,25,0,RARELY,CONSULTANTS,3,F,2,S,2096,1,0,18,3,40,2,3,2,2,2,2,1
482,31,0,RARELY,CONSULTANTS,3,F,1,S,6812,1,0,19,3,40,10,2,3,10,9,1,8
483,48,0,RARELY,CONSULTANTS,3,M,2,M,19665,4,0,12,3,40,29,3,3,22,10,12,9
484,29,0,RARELY,CONSULTANTS,1,F,4,D,2532,6,0,14,3,40,8,5,3,4,3,0,3
485,35,0,RARELY,CONSULTANTS,1,M,3,M,3506,0,1,14,3,49,4,3,3,3,2,2,2
486,24,0,FREQUENTLY,CONSULTANTS,1,F,4,S,3760,1,1,13,3,49,6,2,3,6,3,1,3
487,33,1,RARELY,SALES,3,F,1,S,8564,2,1,20,4,54,11,2,2,0,0,0,0
488,26,0,RARELY,CONSULTANTS,4,M,3,M,2305,1,0,15,3,40,3,3,4,3,2,0,2
489,38,0,RARELY,SALES,3,M,2,M,2899,0,0,19,3,40,3,3,3,2,2,1,2
490,44,0,RARELY,OPERATIONS,3,F,4,D,3195,4,1,18,3,47,8,2,3,2,2,2,2
491,28,1,RARELY,CONSULTANTS,3,M,2,M,2408,1,1,17,3,52,1,3,3,1,1,0,0
492,29,1,RARELY,CONSULTANTS,1,M,4,S,2389,1,1,13,3,53,4,3,2,4,3,0,1
493,49,0,RARELY,CONSULTANTS,2,F,1,M,4789,4,0,25,4,40,10,3,3,3,2,1,2
494,34,0,RARELY,CONSULTANTS,2,F,2,S,2311,2,0,15,3,40,9,3,3,3,2,1,2
495,43,0,RARELY,CONSULTANTS,3,F,3,M,19392,7,0,13,3,40,21,2,3,16,12,6,14
496,26,0,RARELY,SALES,3,F,3,S,2966,0,0,18,3,40,5,2,3,4,2,0,0
497,39,0,FREQUENTLY,CONSULTANTS,4,F,3,S,10938,0,0,25,4,40,20,1,3,19,6,11,8
498,23,0,RARELY,CONSULTANTS,2,M,3,M,1223,1,0,22,4,40,1,2,3,1,0,0,1
499,41,0,RARELY,SALES,2,M,3,S,7082,3,1,16,3,49,21,2,3,2,0,0,2
500,28,0,RARELY,SALES,4,M,4,S,5253,1,0,16,3,40,7,1,3,7,5,0,7
